trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-196.61492745203535,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9801}",30,0,-127.74955878191486,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-118.06990457213124,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,19,-2.482223215172349,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-85.05435499387268,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-132.11288463917774,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-69.62136874684012,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-192.2035626485909,"{0: 12, 1: 5, 2: 2, 3: 4, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",30,0,-277.9350505471034,"{0: 13, 1: 5, 2: 6, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,3,-37.034201362357976,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-230.80549404518285,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-145.21928786188002,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-135.89515779829418,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",30,0,-106.12459732680576,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",35,21,-37.160616027098925,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-70.94399658513557,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-36.164043390462986,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-78.05454578465027,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",30,0,-200.96973012898698,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-53.23584406208093,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",25,13,-94.69918714677605,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,0,-45.49110018084422,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,5,-162.90761407933076,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",1
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,6,-119.4923758605332,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 2}",1
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",20,0,-40.112301788865366,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,0,-62.353861570537454,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,10,-40.106163480570096,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,10,1.5404881215174937,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-144.81853936208879,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
