trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.65244056234813,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.70649592774166,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.57960794227496,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.41378156536359,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.23298456272565,"{0: 18, 1: 6, 2: 1, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-216.8665357464758,"{0: 17, 1: 1, 2: 7, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-146.40285755644788,"{0: 21, 1: 4, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.66202924792177,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-291.84512797513713,"{0: 15, 1: 3, 2: 13, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.09497696480386,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.60262927981302,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.36121894209296,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.67038139858244,"{0: 9, 1: 4, 2: 2, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.3803011097741,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.0278391383079,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-71.4086064240937,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,3,-86.58585188403384,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.99399760259475,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.20811412295296,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.26066866839966,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-156.49554804379173,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-207.48097714507352,"{0: 16, 1: 5, 2: 4, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.41743478834412,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-133.64254605151547,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.37646928628743,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-262.8044043928961,"{0: 13, 1: 2, 2: 11, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-126.96343020466854,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.43112245523359,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.408255885544435,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.5915723359547,"{0: 7, 1: 4, 2: 7, 3: 2, 4: 0}",0
